,Name,Price,Rating,Number Of Rating,Number Of Reviews,Link
26,"Infinix S4 (Space Gray, 64 GB)  (4 GB RAM)","9,599",4.2,"22,415 Ratings "," 2,813 Reviews",https://www.flipkart.com/infinix-s4-space-gray-64-gb/p/itmfgzqqkgqgttyh?pid=MOBFGZQQDHTNY368&lid=LSTMOBFGZQQDHTNY368IOHGID&marketplace=FLIPKART&srno=b_2_27&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGZQQDHTNY368.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
27,"Infinix Note 5 (Milan Black, 64 GB)  (4 GB RAM)","7,699",4.2,"8,266 Ratings "," 1,112 Reviews",https://www.flipkart.com/infinix-note-5-milan-black-64-gb/p/itmf84r8hrdzuzvf?pid=MOBF84R8QJMU6KTF&lid=LSTMOBF84R8QJMU6KTFQKE6EC&marketplace=FLIPKART&srno=b_2_28&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF84R8QJMU6KTF.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
28,"Infinix Smart 3 Plus (Midnight Black, 32 GB)  (2 GB RAM)","7,499",4.2,"78,039 Ratings "," 10,486 Reviews",https://www.flipkart.com/infinix-smart-3-plus-midnight-black-32-gb/p/itmffnu4txbsjzem?pid=MOBFFNU4KDGYPHQY&lid=LSTMOBFFNU4KDGYPHQYZCOIPL&marketplace=FLIPKART&srno=b_2_29&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFFNU4KDGYPHQY.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
29,"Infinix Smart 3 Plus (Mocha Brown, 32 GB)  (2 GB RAM)","7,499",4.2,"78,039 Ratings "," 10,486 Reviews",https://www.flipkart.com/infinix-smart-3-plus-mocha-brown-32-gb/p/itmffnu4txbsjzem?pid=MOBFGAYY4YXPXYCW&lid=LSTMOBFGAYY4YXPXYCWSH6OMB&marketplace=FLIPKART&srno=b_2_30&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGAYY4YXPXYCW.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
30,"Infinix S5 Lite (Quetzal Cyan, 64 GB)  (4 GB RAM)","8,499",4.3,"37,870 Ratings "," 4,082 Reviews",https://www.flipkart.com/infinix-s5-lite-quetzal-cyan-64-gb/p/itm8d3bbd7115184?pid=MOBFHW8BFB83S7H6&lid=LSTMOBFHW8BFB83S7H6MFEDJ7&marketplace=FLIPKART&srno=b_2_31&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHW8BFB83S7H6.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
31,"Infinix S5 Lite (Violet, 64 GB)  (4 GB RAM)","8,499",4.3,"37,870 Ratings "," 4,082 Reviews",https://www.flipkart.com/infinix-s5-lite-violet-64-gb/p/itm8d3bbd7115184?pid=MOBFHW8BDG7SSK2W&lid=LSTMOBFHW8BDG7SSK2WL0N3GO&marketplace=FLIPKART&srno=b_2_32&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHW8BDG7SSK2W.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
32,"Infinix S5 Lite (Midnight Black, 64 GB)  (4 GB RAM)","8,499",4.3,"37,870 Ratings "," 4,082 Reviews",https://www.flipkart.com/infinix-s5-lite-midnight-black-64-gb/p/itm8d3bbd7115184?pid=MOBFHW8BMTNZZ23D&lid=LSTMOBFHW8BMTNZZ23D98CIIO&marketplace=FLIPKART&srno=b_2_33&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHW8BMTNZZ23D.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
33,"Infinix Hot S3 (Blush Gold, 64 GB)  (4 GB RAM)","11,999",4.1,"11,201 Ratings "," 2,407 Reviews",https://www.flipkart.com/infinix-hot-s3-blush-gold-64-gb/p/itmf4uxphfrfekdt?pid=MOBF22VTNWHZMPTV&lid=LSTMOBF22VTNWHZMPTV458BGO&marketplace=FLIPKART&srno=b_2_34&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTNWHZMPTV.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
34,"Infinix Hot S3 (Sandstone Black, 64 GB)  (4 GB RAM)","11,999",4.1,"11,201 Ratings "," 2,407 Reviews",https://www.flipkart.com/infinix-hot-s3-sandstone-black-64-gb/p/itmf4uxphfrfekdt?pid=MOBF22VTZGFZFGNR&lid=LSTMOBF22VTZGFZFGNRUCHRTL&marketplace=FLIPKART&srno=b_2_35&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTZGFZFGNR.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
35,"Infinix Hot S3 (Topaz Blue, 64 GB)  (4 GB RAM)","11,999",4.1,"11,201 Ratings "," 2,407 Reviews",https://www.flipkart.com/infinix-hot-s3-topaz-blue-64-gb/p/itmf4uxphfrfekdt?pid=MOBF3S32CBQWWHZK&lid=LSTMOBF3S32CBQWWHZKKMQJFE&marketplace=FLIPKART&srno=b_2_36&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF3S32CBQWWHZK.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
36,"Infinix Zero 5 (Champagne Gold, 64 GB)  (6 GB RAM)","17,999",4.2,"8,330 Ratings "," 2,225 Reviews",https://www.flipkart.com/infinix-zero-5-champagne-gold-64-gb/p/itmeznc8n7msbg7x?pid=MOBEZM2MYZJMZU9E&lid=LSTMOBEZM2MYZJMZU9EC14LHC&marketplace=FLIPKART&srno=b_2_37&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEZM2MYZJMZU9E.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
37,"Infinix Zero 5 (Sandstone Black, 64 GB)  (6 GB RAM)","17,999",4.2,"8,330 Ratings "," 2,225 Reviews",https://www.flipkart.com/infinix-zero-5-sandstone-black-64-gb/p/itmeznc8n7msbg7x?pid=MOBEZM2MBXVMXBY7&lid=LSTMOBEZM2MBXVMXBY7EEA3EP&marketplace=FLIPKART&srno=b_2_38&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEZM2MBXVMXBY7.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
38,"Infinix Zero 5 (Bordeaux Red, 64 GB)  (6 GB RAM)","17,999",4.2,"8,330 Ratings "," 2,225 Reviews",https://www.flipkart.com/infinix-zero-5-bordeaux-red-64-gb/p/itmeznc8n7msbg7x?pid=MOBEZM2MBFGMSZWH&lid=LSTMOBEZM2MBFGMSZWHQ2VB9F&marketplace=FLIPKART&srno=b_2_39&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEZM2MBFGMSZWH.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
39,"Infinix S4 (Twilight Purple, 32 GB)  (3 GB RAM)","9,599",4.2,"27,885 Ratings "," 3,929 Reviews",https://www.flipkart.com/infinix-s4-twilight-purple-32-gb/p/itmfgju8hzamxzxx?pid=MOBFGJU8NKGEQ2HR&lid=LSTMOBFGJU8NKGEQ2HRNXMXGP&marketplace=FLIPKART&srno=b_2_40&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGJU8NKGEQ2HR.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
40,"Infinix Hot 7 (Aqua Blue, 64 GB)  (4 GB RAM)","9,999",4.2,"26,135 Ratings "," 3,482 Reviews",https://www.flipkart.com/infinix-hot-7-aqua-blue-64-gb/p/itmfhvqduy3nrcuu?pid=MOBFHVQDF8GUHTH3&lid=LSTMOBFHVQDF8GUHTH3AK9BBG&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHVQDF8GUHTH3.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
41,"Infinix Note 5 (Ice Blue, 64 GB)  (4 GB RAM)","7,699",4.2,"8,266 Ratings "," 1,112 Reviews",https://www.flipkart.com/infinix-note-5-ice-blue-64-gb/p/itmf84r8hrdzuzvf?pid=MOBF84R8XBBNSGYQ&lid=LSTMOBF84R8XBBNSGYQV8OTHD&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF84R8XBBNSGYQ.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
